Duplicate Removal Log - 20250422_011257
Total images scanned: 1889
Duplicates found: 830

Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery112.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery1117.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery113.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery1003.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery1171.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery111.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery12.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery1058.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery120.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery1085.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery1207.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery116.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery122.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery1107.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery123.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery1025.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery128.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery1248.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery1295.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery121.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery1300.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery125.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery131.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery1162.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery1325.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery110.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery1328.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery106.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery1368.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery119.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery137.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery1363.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery1386.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery1.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery139.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery1340.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery1396.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery107.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery1398.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery130.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery141.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery1009.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery1417.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery127.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery1419.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery104.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery1425.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery115.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery1429.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery103.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery144.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery1278.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\battery\battery145.jpg (Original: Z:\GarbageClassification\data\non_recyclable\battery\battery1314.jpg)
