Duplicate Removal Log - 20250422_010714
Total images scanned: 3324
Duplicates found: 1233

Removed: Z:\GarbageClassification\data\recyclable\paper\paper1545.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1000.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1546.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1001.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1547.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1002.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1548.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1003.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1549.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1004.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1550.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1005.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1551.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1006.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1552.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1008.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1553.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1009.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1554.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1010.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1555.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1011.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1556.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1012.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1557.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1013.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1558.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1014.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1559.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1015.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1560.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1016.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1561.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1017.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1562.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1019.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1563.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1020.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1564.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1021.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1565.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1022.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1566.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1023.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1567.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1024.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1568.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1025.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1569.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1026.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1570.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1027.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1571.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1028.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1572.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1030.jpg)
Removed: Z:\GarbageClassification\data\recyclable\paper\paper1573.jpg (Original: Z:\GarbageClassification\data\recyclable\paper\paper1031.jpg)
