Duplicate Removal Log - 20250422_010810
Total images scanned: 3331
Duplicates found: 1241

Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1008.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic10.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1077.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic100.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1078.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic103.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1079.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic104.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1080.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic105.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1081.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic106.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1082.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic107.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1084.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic108.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic109.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1085.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic11.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1009.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic110.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1086.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic111.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1087.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic114.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1088.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic116.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1089.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic117.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1090.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic118.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1091.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic119.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1092.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic12.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1010.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic120.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1093.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic121.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1094.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic122.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1095.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic123.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1096.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic125.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1097.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic126.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1098.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic128.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1099.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic129.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1100.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic130.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1101.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic131.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1102.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic132.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1103.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic133.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1104.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic134.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1105.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1350.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1262.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1353.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1056.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1355.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1085.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1357.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1047.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic136.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1106.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1363.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1200.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1364.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1236.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic137.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1107.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1379.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1280.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic138.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1108.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1383.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1340.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1390.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1289.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1392.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1334.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1399.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1163.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic14.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1011.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1400.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1036.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1407.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1039.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic141.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1109.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1411.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1176.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1414.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1304.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1417.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1149.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic142.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1110.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1426.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1005.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic143.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1111.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1431.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1062.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1432.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1278.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1437.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1194.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1439.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1272.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic144.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1112.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1441.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1313.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1445.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1269.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1448.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1286.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic145.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1114.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1450.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1178.jpg)
Removed: Z:\GarbageClassification\data\recyclable\plastic\plastic1451.jpg (Original: Z:\GarbageClassification\data\recyclable\plastic\plastic1099.jpg)
