Duplicate Removal Log - 20250422_010552
Total images scanned: 2199
Duplicates found: 1100

Removed: Z:\GarbageClassification\data\recyclable\metal\metal269.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1000.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal270.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1001.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal271.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1002.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal272.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1003.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal273.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1004.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal274.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1005.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal275.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1006.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal276.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1007.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal277.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1008.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal278.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1009.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal280.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1010.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal281.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1011.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal282.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1012.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal283.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1013.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal284.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1014.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal285.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1015.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal286.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1016.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal287.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1017.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal288.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1018.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal289.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1019.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal291.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1020.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal292.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1021.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal293.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1022.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal294.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1023.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal295.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1024.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal296.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1025.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal297.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1026.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal298.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1027.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal299.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1028.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal300.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1029.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal302.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1030.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal303.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1031.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal304.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1032.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal305.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1033.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal306.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1034.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal307.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1035.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal308.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1036.jpg)
Removed: Z:\GarbageClassification\data\recyclable\metal\metal309.jpg (Original: Z:\GarbageClassification\data\recyclable\metal\metal1037.jpg)
