Duplicate Removal Log - 20250423_233041
Total images scanned: 1982
Duplicates found: 848

Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1087.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological103.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1208.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological108.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1226.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological116.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological123.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1017.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1277.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological102.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological128.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1163.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1296.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological118.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological130.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1141.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1322.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological126.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1349.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological106.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1359.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological101.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1368.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological104.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1389.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological119.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological14.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1290.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1400.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological10.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1419.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological139.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological143.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1339.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological146.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1121.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological147.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1079.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological149.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1445.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1499.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological113.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological152.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1125.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological153.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1525.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1535.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological111.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1543.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological141.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological155.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1174.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1572.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological154.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological158.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1338.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1580.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological159.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1027.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological16.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1518.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological160.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological1035.jpg)
Removed: Z:\GarbageClassification\data\non_recyclable\biological\biological1607.jpg (Original: Z:\GarbageClassification\data\non_recyclable\biological\biological107.jpg)
